dataset,label
"[0.6400027581366571, 0.618648563668955, 0.6017206389096991, 0.5980759352351251, 0.6135234365701752, 0.6005442243017238, 0.6287850541818292, 0.5964053038061066, 0.6007659499008847, 0.59353223517078, 0.6120503834505715, 0.5878193344479288, 0.5596716993861415, 0.6026330290876492, 0.6034049886580917, 0.5868580964365929, 0.5199710685222968, 0.5165716405839608, 0.4553122556250281, 0.4430513184481523, 0.4262357472111521, 0.3966961192664998, 0.29493370216746645, 0.2952100342275127, 0.27880023630001854, 0.18510461304517936, 0.19777515757526493, 0.16620908566602896, 0.11256779254590579, 0.06864521160927599, 0.061687273790190365, 0.0026148052864423364, -0.021903154315214224, -0.014285829890530614, -0.021402135615594856, -0.027990735957670945, -0.05540295463108945, -0.07727853847105942, -0.038571070584102946, -0.0419010801514753, -0.07316021000900877, -0.047313340695701867, -0.04712051153318508, 0.00048013538480954493, -0.013626769465031295, -0.047361127815703695, -0.06683332204385231, -0.06095554647523164, -0.03520838280361724, -0.02999018906275551, -0.07001631435886685]",0
"[0.7697105880979213, 0.8087795153216777, 0.7699167825358567, 0.7974524457471711, 0.7446904197751218, 0.7931309948562348, 0.7914357023332613, 0.7617956362409621, 0.7782241331934605, 0.7730756755501103, 0.7965886310483696, 0.7725483714170212, 0.8064773283980632, 0.7766702119378189, 0.7834982389686057, 0.7487493712920694, 0.6907314295463721, 0.6326241379499302, 0.5706449272419105, 0.517804342663653, 0.5036591494358212, 0.3718926532002103, 0.33217487454879957, 0.27774884919685516, 0.1689894426365293, 0.10884541139307216, 0.07939182036122362, -0.00579005375396961, -0.10395062504922867, -0.17268221953425777, -0.1881208196320715, -0.27278444606600044, -0.35543391368878113, -0.33355542609131633, -0.3440290716498444, -0.3458609542410272, -0.3519418874437448, -0.3753506836379682, -0.3491499628614874, -0.3565642592992334, -0.34080356189131567, -0.3502593267138505, -0.33571605584874314, -0.36073099635238737, -0.3751615784276184, -0.38058350670232965, -0.2976200568870585, -0.3299566555227439, -0.3459103972765805, -0.3326646552425347, -0.33028531477301976]",0
"[0.7615611577345045, 0.7464548920796231, 0.8038875617027019, 0.7512978279763914, 0.757655933515468, 0.788826171959008, 0.7480893658100025, 0.7245317244692092, 0.7377385151997986, 0.7671100183594294, 0.7626998458768292, 0.7647811361683716, 0.7661367818235227, 0.7270353034688218, 0.7782208132675427, 0.7595714707890536, 0.768986063941273, 0.7624015803633237, 0.6747948670663029, 0.5629351254047785, 0.48445472590020855, 0.3559796825386179, 0.27564516286755547, 0.18624003595833574, 0.11771397868552257, 0.0057622388727419215, -0.08892756013951604, -0.19527537615847215, -0.297599558117636, -0.35887733129165905, -0.48882105502834267, -0.5981931920326111, -0.6815090382351053, -0.7621193799796363, -0.8542009176602561, -0.8438997086439091, -0.8496535051212002, -0.8512293067973637, -0.8384909524320351, -0.8629865110214038, -0.8289186407314783, -0.8590873991881876, -0.7792503954648261, -0.8738278376608581, -0.8543757766207021, -0.8382681100051802, -0.831622925312929, -0.8253478591718043, -0.8295893046615108, -0.8411594540558799, -0.8695483459109945]",0
"[0.5335120495069812, 0.6144276550901164, 0.5971222259724311, 0.5859515635959759, 0.5619007919496166, 0.5603431681201941, 0.5593345852311684, 0.5601794644312582, 0.5714834389036213, 0.5804522343358779, 0.5622954531642578, 0.5992690211488857, 0.5669680049130529, 0.5927325732192951, 0.5714347922836688, 0.5879847123723522, 0.5256733453827508, 0.4842373605769141, 0.4036547071436915, 0.37570872326815896, 0.31227596405297275, 0.3268831311195677, 0.26459280083270836, 0.20467396691836212, 0.17267979906131442, 0.07852534730303769, 0.1075677829490076, 0.013507317462994986, -0.06136463141014602, -0.07911411108138956, -0.17180162118945547, -0.17717410305363926, -0.17058978904133087, -0.19797014821265388, -0.21087906613359814, -0.16295947432922023, -0.17702617446782878, -0.20229535242762448, -0.19521139164806106, -0.15413130646065998, -0.15593125741182215, -0.19313806528783342, -0.17750160070732732, -0.1598237144487682, -0.19343564504281813, -0.15721519039114468, -0.14675167782861426, -0.19290909175089926, -0.18901044779064458, -0.1667957584485744, -0.20213825826102283]",0
"[0.45075905510189973, 0.42902675530995044, 0.4311114259214647, 0.41054886842628296, 0.43839947562603476, 0.4108158940287634, 0.4210079216856776, 0.4372757099817581, 0.44855878333011756, 0.4106331978634206, 0.422520071244037, 0.4112336459742198, 0.43288134269113143, 0.4464218048397902, 0.4269689963737514, 0.44207706385238116, 0.4451890475210906, 0.4441899399317068, 0.4595332426758665, 0.43733429375387234, 0.32116773070704413, 0.3095249242898582, 0.24165580445931145, 0.22441205607827425, 0.21900065170254235, 0.12769938943368525, 0.15178381622203208, 0.11405138440181309, 0.07209037383590146, 0.039418210455501215, -0.012767510865343418, -0.024132836538481743, -0.013737908464278603, -0.01799333555347323, -0.006183931046978765, 0.0030932645975784764, -0.03549962013354112, -0.0035555699660043006, -0.022261595830658884, -0.02456350815638289, 0.004602679421176136, -0.03063955012315491, -0.0010189364744805692, 0.013067658342078846, 0.0007659258099503453, -0.013074921870513437, -0.006485024214152, -0.04953456319385304, 0.009253864096488438, -0.00816595186099452, -0.018892612932490747]",0
"[0.9448660059759905, 0.9010085726898192, 0.9180399710489867, 0.9606029946369219, 0.8974707413404254, 0.9223317281817737, 0.9018033608254795, 0.8925933256528925, 0.9083808811187752, 0.9456955096920941, 0.9501230344620599, 0.9372500358195639, 0.9220458205737678, 0.9284334188466465, 0.8933902821252715, 0.8994602602958107, 0.8886594145777569, 0.8008415748661603, 0.7173401273101017, 0.613692783845378, 0.5294152823884846, 0.4266534475664032, 0.3074043615511304, 0.19268714559104483, 0.10728611478202431, 0.028569526887152415, -0.10435056881409832, -0.19535431488358693, -0.29954829647214076, -0.3362965586501242, -0.30556489096977435, -0.2851984173037429, -0.2804363151990298, -0.2903886949600757, -0.27881624321740606, -0.2795223312095162, -0.32632166030981524, -0.27389534932524684, -0.3030376457633032, -0.26262463970132033, -0.30662787443775885, -0.28521411351202647, -0.28570369788801586, -0.24662722254346653, -0.2755428234773016, -0.2911898760151108, -0.30274434084765384, -0.2585500667688782, -0.28402876921182685, -0.2791169324647402, -0.25578513992982976]",0
"[0.5677435348381624, 0.5870791208631442, 0.555603654285863, 0.5568980246254235, 0.5827163980570136, 0.5450785579834252, 0.5473310434141724, 0.5809154634624724, 0.5580430364822447, 0.5957413061387896, 0.5343971616683008, 0.5499210777191827, 0.5631453051737917, 0.5227087704305424, 0.5980929960126693, 0.5720434178578824, 0.5831964480285518, 0.5529371069933515, 0.5625403969287389, 0.5846328776756778, 0.5808782273369885, 0.5367126017802112, 0.5837031616370255, 0.4389144553798803, 0.2841032768922393, 0.1818295834880142, 0.05968513880077226, -0.08264316812563546, -0.19335964112477672, -0.32051078077225303, -0.4464626532662448, -0.5339647956697553, -0.6862051990074964, -0.7127389784063598, -0.6849747657648023, -0.7213937237612519, -0.6977498641545816, -0.6790457225141868, -0.6455489642695722, -0.7090049061736036, -0.6983888152766304, -0.695509859702169, -0.6990698574945126, -0.6655093829220463, -0.6848107940950069, -0.7129491457778359, -0.6805117070701776, -0.724968590383855, -0.7028749361796781, -0.6398644340685676, -0.6964686086071307]",0
"[0.325955795361314, 0.3803831062926828, 0.365736586540131, 0.42770924488691703, 0.37292052023503114, 0.3887765462335444, 0.37849582524629966, 0.3525682813246063, 0.4074465065471694, 0.37001743391215186, 0.33948052609717694, 0.34326018404027003, 0.3463210719949351, 0.3532448023053715, 0.3919592803410414, 0.3587698607482223, 0.36773447926101543, 0.34845607067865575, 0.32888500664580245, 0.3416794371269203, 0.22856570717793007, 0.18348986963650638, 0.08699269852368846, 0.051039935322460504, -0.028591411861138387, -0.08215948980878535, -0.10678458853305925, -0.1983569801863687, -0.27813097667494485, -0.3141101685492775, -0.3466678686613403, -0.46972197475094657, -0.49678547288010544, -0.5646499094718117, -0.5593811005895704, -0.5547807854183132, -0.5688925175568488, -0.5654566656910538, -0.558917433560856, -0.5732512870567932, -0.5799800687752634, -0.5585032659141679, -0.5944840287210568, -0.5861021454309027, -0.587122446693536, -0.585500828855179, -0.5606422052551451, -0.5583165686051493, -0.5955560832216422, -0.5585870579712642, -0.5559230064765496]",0
"[0.2770317760820501, 0.2444431544261041, 0.2411651397418239, 0.25073568356527853, 0.23078181575092552, 0.24023429915870304, 0.23380560877041676, 0.2385600842641015, 0.2561217574155268, 0.2134557499877282, 0.25771324525664674, 0.2516990168067836, 0.23086601372547272, 0.28951992568760787, 0.181302270534354, 0.16699544414286863, 0.12697186888752593, 0.11174269628184046, 0.09854397326224792, 0.04373911415211465, 0.027031430434254367, 0.02834706915792136, -0.04657869281405836, -0.08519013802955586, -0.13139333524704702, -0.1615595556572844, -0.20824160584453372, -0.2172469583628953, -0.27259621646444204, -0.25583437135477255, -0.3442083959853587, -0.3709444668432658, -0.37154572992042634, -0.3950632178638568, -0.44354458527744695, -0.5045028928819626, -0.5000624996191095, -0.568608769263743, -0.5566455239177329, -0.5090664578644805, -0.5814129046476644, -0.5355803078188671, -0.5634010340543942, -0.5664555267501842, -0.5362090145007707, -0.5613115105570345, -0.576776463765985, -0.5589556534346937, -0.5915768930672111, -0.5614657623871825, -0.5255999999642118]",0
"[0.8263990138263092, 0.8360849485750326, 0.8603323056334482, 0.829701836880584, 0.8418480614366698, 0.8306665339283155, 0.8399466852111581, 0.8504783680945903, 0.8584629482089537, 0.8399900104457335, 0.8535877332682301, 0.8350263110551842, 0.8274307709432184, 0.8428837792938738, 0.8593461022447191, 0.8189054808569158, 0.8274649376992519, 0.8450370124848654, 0.849767279102327, 0.8490600342661746, 0.8090581719204978, 0.6945940377080614, 0.5562812344112913, 0.3961029653660315, 0.20855546491151314, 0.04990032819815972, -0.07851973306991694, -0.26474175642068254, -0.42221777906124314, -0.5942200008657099, -0.7425371994773184, -0.8687849383282299, -0.8857681574417953, -0.8671054779003992, -0.9097896929947977, -0.8761143376057239, -0.8924204926390317, -0.9301119183344188, -0.893825612392049, -0.8472929900780013, -0.8578982586054561, -0.8683746384657726, -0.9108997882377737, -0.8913998477990439, -0.8988087250502961, -0.9005604319553923, -0.8969052531384236, -0.8782427055108423, -0.8791540535338553, -0.8758276253098753, -0.8678130052468059]",0
